ก.,kX-1
กรวยบ้าน,
กรวยป่า,
กรวยเชิง,
กรวิก,
กรสานต์,
กรสาปน,
กรสาปน์,
กรสุทธิ์,
กรอ,krX-1
กรอ.,kX-1 rX-1 ?X-1
กรอก,krXk2
กรอกรุย,
กรอกแกรก,krXk2 krYk2
กรอง,krXN1
กรองกรอย,
กรองทอง,krXN1 TXN1
กรอด,krXt2
กรอบ,krXp2
กรอบความคิด,
กรอบประตู,
กรอบรูป,krXp2 rUp3
กรอบหน้า,krXp2 nA-3
กรอบเกรียบ,
กรอบเค็ม,
กรอบเช็ดหน้า,krXp2 Cet4 nA-3
กรอบแกรบ,krXp2 krYp2
กรอม,krXm1
กระ,kra?2
กระกร,kra-1 kXn1
กระกรับกระเกรียบ,
กระกรี๊ด,
กระกรุ่น,
กระกลับกลอก,
กระกวด,
กระกอง,
กระกัด,
กระกัติ,
กระกี้,
กระกูล,
กระคน,
กระคาย,
กระคุก,
กระงกกระงัน,
กระงกกระเงิ่น,
กระงอดกระแงด,
กระง่องกระแง่ง,
กระง่อนกระแง่น,
กระจก,kra-1 cok2
กระจกข้าง,kra-1 cok2 KAN3
กระจกตา,kra-1 cok2 tA-1
กระจกนูน,kra-1 cok2 nUn1
กระจกฝ้า,kra-1 cok2 fA-3
กระจกรถ,
กระจกส่อง,kra-1 cok2 sXN2
กระจกหน้ารถ,kra-1 cok2 nA-3 rot4
กระจกหน้ารถยนต์,kra-1 cok2 nA-3 rot4 jon1
กระจกหลัง,kra-1 cok2 laN5
กระจกหุง,kra-1 cok2 huN5
กระจกเงา,kra-1 cok2 Naw1
กระจกเว้า,kra-1 cok2 waw4
กระจกใส,
กระจง,kra-1 coN1
กระจร,
กระจอก,kra-1 cXk2
กระจอกงอกง่อย,kra-1 cXk2 NXk3 NXj3
กระจอกชวา,
กระจอกเทศ,
กระจองงอง,
กระจองงอง ๆ,
กระจองหง่อง,
กระจองอแง,
กระจอนหู,
กระจะ,kra-1 ca?2
กระจัก,
กระจัง,
กระจังหลังเบี้ย,
กระจัด,kra-1 cat2
กระจัดกระจาย,kra-1 cat2 kra-1 cAj1
กระจัดพลัดพราย,kra-1 cat2 Plat4 PrAj1
กระจับ,kra-1 cap2
กระจับบก,
กระจับปิ้ง,
กระจับปี่,
กระจาด,kra-1 cAt2
กระจาน,
กระจาบ,kra-1 cAp2
กระจาม,
กระจาย,kra-1 cAj1
กระจายนะมณฑล,
กระจายหางดอก,
กระจายอำนาจ,kra-1 cAj1 ?am1 nAt3
กระจายเสียง,kra-1 cAj1 sJN5
กระจาว,
กระจิก,
กระจิด,
กระจิบ,kra-1 cip2
กระจิริด,kra-1 ci?2 rit4
กระจิ๋ง,
กระจิ๋ม,
กระจิ๋ว,kra-1 ciw5
กระจิ๋วหลิว,kra-1 ciw5 liw5
กระจี้,
กระจี๋,
กระจุก,kra-1 cuk2
กระจุกกระจิก,kra-1 cuk2 kra-1 cik2
กระจุกกระจุย,
กระจุบ,
กระจุบกระจิบ,
กระจุย,kra-1 cuj1
กระจุยกระจาย,
กระจุ๊บ,
กระจุ๋งกระจิ๋ง,
กระจุ๋มกระจิ๋ม,kra-1 cum5 kra-1 cim5
กระจูด,kra-1 cUt2
กระจู้,
กระจู๋กระจี๋,
กระจ่า,kra-1 cA-2
กระจ่าง,kra-1 cAN2
กระจ่างแจ้ง,kra-1 cAN2 cYN3
กระจ้อน,
กระจ้อย,kra-1 cXj3
กระจ้อยร่อย,kra-1 cXj3 rXj3
กระจ๊อก,
กระจ๋องหง่อง,
กระจ๋อหวอ,
กระฉง,
กระฉอก,kra-1 CXk2
กระฉอกกระแฉก,kra-1 CXk2 kra-1 CYk2
กระฉับกระเฉง,kra-1 Cap2 kra-1 CEN5
กระฉิ่ง,
กระฉีก,
กระฉูด,kra-1 CUt2
กระฉ่อน,kra-1 CXn2
กระชง,
กระชดกระช้อย,
กระชอก,
กระชอน,kra-1 CXn1
กระชอม,
กระชอมดอก,
กระชัง,kra-1 CaN1
กระชังก้นรั่ว,kra-1 CaN1 kon3 rR-3
กระชังหน้าใหญ่,
กระชับ,kra-1 Cap4
กระชั้น,kra-1 Can4
กระชั้นชิด,kra-1 Can4 Cit4
กระชาก,kra-1 CAk3
กระชากเสียง,
กระชาย,kra-1 CAj1
กระชาเดิม,
กระชิง,
กระชิด,
กระชุ,kra-1 Cu-4
กระชุก,
กระชุน,
กระชุ่มกระชวย,kra-1 Cum3 kra-1 CRj1
กระช่าง,
กระช้อย,
กระช้อยนางรำ,
กระซวย,
กระซับ,
กระซาบ,kra-1 sAp3
กระซิก,kra-1 sik4
กระซิก ๆ,
กระซิกกระซวย,
กระซิกกระซี้,
กระซิกๆ,
กระซิบ,kra-1 sip4
กระซิบกระซาบ,kra-1 sip4 kra-1 sAp3
กระซี้,
กระซี้กระซ้อ,
กระซุง,
กระซุบกระซิบ,
กระซุ้ม,
กระซู่,kra-1 sU-3
กระซ่องกระแซ่ง,
กระซ่าง,
กระฎี,
กระฎุมพี,kra-1 dum1 PI-1
กระดก,kra-1 dok2
กระดกกระดนโด่,
กระดนโด่,
กระดวง,
กระดวน,
กระดอ,kra-1 dX-1
กระดอง,kra-1 dXN1
กระดองหาย,
กระดอน,kra-1 dXn1
กระดอม,
กระดักกระเดี้ย,
กระดังงัว,
กระดังงา,kra-1 daN1 NA-1
กระดังงาจีน,kra-1 daN1 NA-1 cIn1
กระดังงาลนไฟ,kra-1 daN1 NA-1 lon1 faj1
กระดังงาเถา,
กระดาก,kra-1 dAk2
กระดากกระเดื่อง,
กระดากปาก,
กระดากลิ้น,
กระดากอาย,
กระดากเดื่อง,
กระดากใจ,kra-1 dAk2 caj1
กระดางลาง,
กระดาด,
กระดาดขาว,
กระดาดดำ,
กระดาดแดง,
กระดาน,kra-1 dAn1
กระดานข่าว,kra-1 dAn1 KAw2
กระดานชนวน,kra-1 dAn1 Ca-4 nRn1
กระดานชัย,
กระดานดำ,kra-1 dAn1 dam1
กระดานถีบ,kra-1 dAn1 TIp2
กระดานพน,
กระดานพิง,
กระดานลื่น,kra-1 dAn1 lVn3
กระดานหก,kra-1 dAn1 hok2
กระดานหมากรุก,kra-1 dAn1 mAk2 ruk4
กระดานเลียบ,
กระดานโต้คลื่น,kra-1 dAn1 tO-3 KlVn3
กระดานโหร,
กระดานไฟ,kra-1 dAn1 faj1
กระดาษ,kra-1 dAt2
กระดาษกรอง,kra-1 dAt2 krXN1
กระดาษกาว,kra-1 dAt2 kAw1
กระดาษก๊อบปี้,
กระดาษข่อย,
กระดาษชานอ้อย,
กระดาษชำระ,kra-1 dAt2 Cam1 ra?4
กระดาษซับ,kra-1 dAt2 sap4
กระดาษซับมัน,
กระดาษทราย,kra-1 dAt2 sAj1
กระดาษปอนด์,
กระดาษฟาง,kra-1 dAt2 fAN1
กระดาษว่าว,
กระดาษสา,kra-1 dAt2 sA-5
กระดาษสี,kra-1 dAt2 sI-5
กระดาษหนังสือพิมพ์,
กระดาษอาร์ต,
กระดาษเขียนจดหมาย,kra-1 dAt2 KJn5 cot2 mAj5
กระดาษเขียนแบบ,
กระดาษเงินกระดาษทอง,
กระดาษเช็ดปาก,kra-1 dAt2 Cet4 pAk2
กระดาษเทศ,
กระดาษเพลา,
กระดาษแก้ว,kra-1 dAt2 kYw3
กระดาษแข็ง,kra-1 dAt2 KyN5
กระดาษโรเนียว,
กระดาษไข,
กระดำกระด่าง,kra-1 dam1 kra-1 dAN2
กระดิก,kra-1 dik2
กระดิกกระเดี้ย,kra-1 dik2 kra-1 dJ-3
กระดิกหู,kra-1 dik2 hU-5
กระดิบ,kra-1 dip2
กระดิบ ๆ,
กระดิบๆ,
กระดิ่ง,kra-1 diN2
กระดิ่งกุ๊งกิ๊ง,
กระดิ่งทอง,
กระดิ้ง,
กระดีด,
กระดี่,kra-1 dI-2
กระดี่ได้น้ำ,
กระดี้กระเดียม,
กระดี๊กระด๊า,kra-1 dI-4 kra-1 dA-4
กระดึง,
