ก.,kX-1
ลบเลือน,lop4 lWn1
ลบเหลี่ยม,lop4 lJm2
ลบโลก,
ลปก,
ลปนะ,
ลพ,
ลพบุรี,lop4 bu?2 rI-1
ลพุช,
ลม,lom1
ลม ๆ,
ลม ๆ แล้ง ๆ,
ลมกรด,lom1 krot2
ลมกระโชก,lom1 kra-2 COk3
ลมขึ้น,
ลมค้า,
ลมงวง,
ลมงวงช้าง,
ลมจับ,lom1 cap2
ลมชวย,
ลมชาย,
ลมตก,
ลมตะกัง,
ลมตะเภา,
ลมตีขึ้น,
ลมตึง,
ลมทวนลมค้า,
ลมทะเล,lom1 Ta?4 lE-1
ลมบก,lom1 bok2
ลมบน,
ลมบ้าหมู,lom1 bA-3 mU-5
ลมปราณ,lom1 prAn1
ลมปะกัง,
ลมปาก,lom1 pAk2
ลมพัดชายเขา,
ลมพัดหลวง,
ลมพัทธยา,
ลมพายุ,lom1 PA-1 ju-4
ลมพิษ,
ลมฟ้าอากาศ,lom1 fA-4 ?A-1 kAt2
ลมมรสุม,lom1 mX-1 ra-4 sum5
ลมร้อน,
ลมล่อง,
ลมว่าว,
ลมสลาตัน,lom1 sa-1 lA-5 tan1
ลมสว้าน,
ลมสินค้า,lom1 sin5 KA-4
ลมหนาว,lom1 nAw5
ลมหวน,
ลมหอบ,
ลมหายใจ,lom1 hAj5 caj1
ลมาด,
ลมเฉื่อย,
ลมเบ่ง,
ลมเพลมพัด,lom1 PE-1 lom1 Pat4
ลมเสีย,lom1 sJ-5
ลมแดกขึ้น,
ลมแดง,
ลมแดด,lom1 dYt2
ลมแรง,lom1 rYN1
ลมแล้ง,
ลมโกรก,lom1 krOk2
ลมโชย,lom1 COj1
ลมใส่,
ลมไม่ดี,lom1 maj3 dI-1
ลมๆ แล้งๆ,
ลรรลุง,
ลลนา,
ลลาฏ,
ลลิต,
ลวก,lRk3
ลวก ๆ,lRk3 lRk3
ลวกปาก,
ลวกปากลวกคอ,
ลวกๆ,lRk3 lRk3
ลวง,lRN1
ลวงค์,
ลวงตา,lRN1 tA-1
ลวงเล้า,
ลวงโลก,lRN1 lOk3
ลวณะ,
ลวด,lRt3
ลวดดอกไม้ไหว,lRt3 dXk2 mAj4 waj5
ลวดบัว,
ลวดลาย,lRt3 lAj1
ลวดสปริง,
ลวดหนัง,lRt3 naN5
ลวดหนาม,lRt3 nAm5
ลวนลาม,lRn1 lAm1
ลวนะ,
ลวะ,
ลวิตร,
ลส.ชบ.,
ลหุ,la-4 hu?2
ลหุกาบัติ,
ลหุภัณฑ์,
ลหุโทษ,la-4 hu?2 TOt3
ลอก,lXk3
ลอกคราบ,lXk3 KrAp3
ลอกท้องร่อง,
ลอกลาย,
ลอกหน้า,
ลอการิทึม,lX-1 kA-1 ri?4 Tvm1
ลอกเปลือก,
ลอกเลน,
ลอกเลียน,lXk3 lJn1
ลอกเลียนแบบ,lXk3 lJn1 bYp2
ลอกแบบ,lXk3 bYp2
ลอกแลก,
ลอง,lXN1
ลองกอง,lXN1 kXN1
ลองของ,lXN1 KXN5
ลองจิจูด,lXN1 ci?2 cUt2
ลองดี,lXN1 dI-1
ลองดู,lXN1 dU-1
ลองธรรม์,
ลองผิดลองถูก,lXN1 Pit2 lXN1 TUk2
ลองภูมิ,lXN1 PUm1
ลองเครื่อง,
ลองเชิง,lXN1 CZN1
ลองเสื้อ,
ลองใจ,lXN1 caj1
ลองใน,
ลองไน,
ลอจิสติกส์,
ลอด,lXt3
ลอดช่อง,lXt3 CXN3
ลอดผ่าน,
ลอตเตอรี่,lXt3 tZ-1 rI-3
ลอน,lXn1
ลอนดอน,lXn1 dXn1
ลอนทอง,
ลอบ,lXp3
ลอบกัด,lXp3 kat2
ลอบฆ่า,
ลอบทำ,
ลอบทำร้าย,lXp3 Tam1 rAj4
ลอบฟัง,lXp3 faN1
ลอบมอง,lXp3 mXN1
ลอบสังหาร,lXp3 saN5 hAn5
ลอบหนี,lXp3 nI-5
ลอม,
ลอมชอม,
ลอมพอก,
ลอย,lXj1
ลอย ๆ,lXj1 lXj1
ลอยกระทง,lXj1 kra-1 ToN1
ลอยคว้าง,
ลอยคอ,lXj1 KX-1
ลอยชาย,lXj1 CAj1
ลอยช้อน,
ลอยดอก,
ลอยตัว,lXj1 tR-1
ลอยนวล,lXj1 nRn1
ลอยน้ำ,lXj1 nAm4
ลอยบาป,
ลอยฟ่อง,lXj1 fxN3
ลอยฟ้า,lXj1 fA-4
ลอยลม,
ลอยละล่อง,lXj1 la?4 lXN3
ลอยลำ,lXj1 lam1
ลอยลิ่ว,
ลอยหน้า,lXj1 nA-3
ลอยหน้าลอยตา,lXj1 nA-3 lXj1 tA-1
ลอยเคว้ง,lXj1 KweN4
ลอยเป็นแพ,
ลอยเมฆ,
ลอยแก้ว,lXj1 kYw3
ลอยแพ,lXj1 PY-1
ลอยๆ,lXj1 lXj1
ลอรีอัล,
ลอรีเอะ,
ลอรี่อัล,
ลอร์ด,
ลอว์สัน,
ลอว์เรนซ์,lX-1 rEn1
ลอว์เรนเซียม,
ลอสแองเจลิส,lXt3 ?YN1 cE-1 lit4
ลอสแอนเจลิส,
ลออ,
ลอเรนซ์,lX-1 rEn1
ละ,la?4
ละกล,
ละกูมะนิส,
ละขัดละขืน,
ละคร,la?4 KXn1
ละครกึ่งสารคดี,
ละครชวนหัว,
ละครชาตรี,la?4 KXn1 CA-1 trI-1
ละครดึกดำบรรพ์,
ละครทีวี,la?4 KXn1 TI-1 wI-1
ละครนอก,
ละครน้ำเน่า,la?4 KXn1 nAm4 naw3
ละครพันทาง,
ละครพูด,la?4 KXn1 PUt3
ละครพูดสลับลำ,
ละครยก,
ละครย่อย,
ละครรำ,la?4 KXn1 ram1
ละครร้อง,la?4 KXn1 rXN4
ละครลิง,la-1 KXn1 liN1
ละครวิทยุ,
ละครสังคีต,
ละครสัตว์,la?4 KXn1 sat2
ละครเพลง,la?4 KXn1 PlEN1
ละครเร่,
ละครเล็ก,
ละครเวที,la?4 KXn1 wE-1 TI-1
ละครแก้บน,
ละครโทรทัศน์,la-4 KXn1 TO-1 ra-4 Tat4
ละครใน,la-1 KXn1 naj1
ละคิ,
ละคึก,
ละงาด,
ละงิด,
ละติจูด,la?4 ti?2 cUt2
ละติน,la?4 tin1
ละตินอเมริกา,la?4 tin1 ?a-2 mE-1 ri?4 kA-1
ละทิ้ง,la?4 TiN4
ละบม,
ละบอง,
ละบองราหู,
ละบองไฟ,
ละบัด,
ละบือ,
ละบู,
ละมั่ง,la?4 maN3
ละมา,
ละมาน,la?4 mAn1
ละมือ,
ละมุ,
ละมุง,
ละมุด,la?4 mut4
ละมุน,la?4 mun1
ละมุนละม่อม,la?4 mun1 la?4 mXm3
ละมุนละไม,la?4 mun1 la?4 maj1
ละม่อม,la?4 mXm3
ละม้าย,la?4 mAj4
ละม้ายคล้ายคลึง,la-1 mAj4 KlAj4 KlvN1
ละรี,
ละลด,
ละลนละลาน,
ละลมละลาย,
ละลวย,
ละลอก,la-1 lXk3
ละลอบละเล้า,
ละลัง,
ละลัด,
ละลาน,la?4 lAn1
ละลานตา,la?4 lAn1 tA-1
ละลานใจ,
ละลาบละล้วง,la?4 lAp3 la?4 lRN4
ละลาย,la?4 lAj1
ละลำละลัก,
ละลิบ,
ละลุง,
ละลุม,
ละล่ำละลัก,la?4 lam3 la?4 lak4
ละล้า,
ละล้าละลัง,la?4 lA-4 la?4 laN1
ละล้าว,
ละวล,
ละวาง,
ละวาด,
ละว้อ,
ละว้า,la?4 wA-4
ละสายตา,la?4 sAj5 tA-1
ละหมาด,la?4 mAt2
ละหมาดญะนาซะฮ์,
ละหมาดฮายัต,
ละหลัด,
ละหาน,la?4 hAn5
ละหาร,
ละหุ่ง,la?4 huN2
ละห้อย,la?4 hXj3
ละห้อยละเหี่ย,
ละอง,
ละองละมั่ง,
ละออ,la?4 ?X-1
ละออง,la?4 ?XN1
ละอองฝน,la?4 ?XN1 fon5
ละอองเกสร,la?4 ?XN1 kE-1 sXn5
ละอาย,la?4 ?Aj1
ละอายใจ,la?4 ?Aj1 caj1
ละอ่อน,la?4 ?Xn2
ละเบ็ง,
ละเมอ,la?4 mZ-1
ละเมาะ,la?4 mx?4
ละเมิด,la?4 mZt3
ละเมิดกฎหมาย,la-4 mZt3 kot2 mAj5
ละเมิดลิขสิทธิ์,la?4 mZt3 lik4 Ka-2 sit2
ละเมิดสัญญา,
ละเมิดสิทธิ์,la-4 mZt3 sit2
ละเมิน,
ละเมียด,la?4 mJt3
ละเมียดละไม,la?4 mJt3 la?4 maj1
ละเมียบ,
ละเม็ง,
ละเม็ด,
ละเลง,la?4 lEN1
ละเลงขนมเบื้องด้วยปาก,
ละเลงเลือด,
ละเลย,la?4 lZj1
ละเลาะ,
ละเลาะละลอง,
ละเลิง,
ละเลียด,la?4 lJt3
ละเลียบ,
ละเลือก,
ละเล้า,
ละเวง,
ละเว้น,la?4 wen4
ละเหย,la-1 hZj5
ละเหี่ย,la?4 hJ-2
ละเหี่ยใจ,la-1 hJ-2 caj1
ละเอียด,la?4 ?Jt2
ละเอียดถี่ถ้วน,
ละเอียดยิบ,la?4 ?Jt2 jip4
ละเอียดลออ,la?4 ?Jt2 la-4 ?X-1
ละเอียดละออ,la?4 ?Jt2 la?4 ?X-1
ละเอียดอ่อน,la?4 ?Jt2 ?Xn2
ละแมะ,
ละแวก,la?4 wYk3
ละแวกบ้าน,la-1 wYk3 bAn3
ละแอน,
ละโบม,
ละโมก,
ละโมบ,la?4 mOp3
ละโมภ,
ละโลก,
ละโว้,la-1 wO-4
ละไม,la?4 maj1
ละไล้,
ลัก,lak4
ลักขณะ,
ลักขณา,
ลักขะ,
ลักขี,
ลักขโมย,lak4 Ka-2 mOj1
ลักจั่น,
ลักซ่อน,
ลักตัว,lak4 tR-1
ลักตา,
ลักทรัพย์,lak4 sap4
ลักปิดลักเปิด,lak4 ka-1 pit2 lak4 ka-1 pZt2
ลักพา,lak4 PA-1
ลักพาตัว,lak4 PA-1 tR-1
ลักยิ้ม,lak4 jim4
ลักลอบ,lak4 lXp3
ลักลั่น,lak4 lan3
ลักลาย,
ลักศพ,
ลักษณ,
ลักษณนาม,lak4 sa-1 na?2 nAm1
ลักษณะ,lak4 sa-1 na?2
ลักษณะดิน,
ลักษณะด้อย,
ลักษณะทางพันธุกรรม,lak4 sa-1 na?2 TAN1 Pan1 Tu?4 kam1
ลักษณะนิสัย,lak4 sa-1 na?2 ni?4 saj5
ลักษณะพิเศษ,lak4 sa-1 na?2 Pi-4 sEt2
ลักษณะอาการ,
ลักษณะเฉพาะ,lak4 sa-1 na?2 Ca-2 Px?4
ลักษณะเด่น,
ลักษณาการ,
ลักษณ์,lak4
ลักษมณ์,lak4
ลักษมาณา,
ลักษมี,lak4 sa-1 mI-5
ลักษะ,
ลักสร้อย,
ลักสี,
ลักหลับ,
ลักเค้า,
ลักเซมเบิร์ก,lak4 sEm1 bZk2
ลักเพศ,
ลักเลียม,
ลักเล็กขโมยน้อย,lak4 lek4 Ka-1 mOj1 nXj4
ลักไก่,lak4 kaj2
ลัคคะ,
ลัคน,
ลัคนา,lak4 Ka-4 nA-1
ลัคน์,
ลัง,laN1
ลังกา,laN1 kA-1
ลังคิ,
ลังคี,
ลังถึง,laN1 TvN5
ลังลอง,
ลังสาด,
ลังเล,laN1 lE-1
ลังเลใจ,laN1 lE-1 caj1
ลังแข,
ลัชชา,
ลัชชี,
ลัญจกร,
ลัญจ์,
ลัญฉกร,
ลัญฉน์,
ลัญฉะ,
ลัฐิ,
ลัฐิกา,
ลัด,lat4
ลัดนิ้วมือ,lat4 niw4 mV-1
ลัดวงจร,lat4 woN1 cXn1
ลัดา,
ลัดเนื้อ,
ลัดเลาะ,lat4 lx?4
ลัดแลง,
ลัตเวีย,lat4 wJ-1
ลัทธิ,lat4 Ti?4
ลัทธิขงจื้อ,
ลัทธิความเชื่อ,lat4 Ti?4 KwAm1 CW-3
ลัทธิคอมมิวนิสต์,lat4 Ti?4 KXm1 miw1 nit4
ลัทธิคอมมิวนิสม์,
ลัทธิจักรพรรดินิยม,
ลัทธิจักรวรรดินิยม,lat4 Ti?4 cak2 kra-1 wat2 ni?4 jom1
ลัทธิจารีตนิยม,lat4 Ti?4 cA-1 rIt3 ni-4 ja?4 ma-4
ลัทธิชาตินิยม,lat4 Ti?4 CAt3 ni?4 jom1
ลัทธิทุนนิยม,lat4 Ti?4 Tun1 ni?4 jom1
ลัทธิประชาธิปไตย,lat4 Ti-4 pra-1 CA-1 Tip4 pa-1 taj1
ลัทธิสมบูรณาญาสิทธิราช,
ลัทธิสังคมนิยม,lat4 Ti?4 saN5 Kom1 ni?4 jom1
ลัทธิอาณานิคม,lat4 Ti?4 ?A-1 nA-1 ni?4 Kom1
ลัทธิฮินดู,
ลัทธิเผด็จการ,lat4 Ti?4 Pa-2 det2 kAn1
ลัทธิเสรีนิยม,lat4 Ti?4 sE-5 rI-1 ni?4 jom1
ลัทธ์,
ลัน,
ลันตา,
ลันตู,
ลันทวย,
ลันเต,
ลันเตา,lan1 taw1
ลันโทม,
ลันไต,
ลับ,lap4
ลับ ๆ ล่อ ๆ,
ลับกาย,
ลับตัว,
ลับตา,lap4 tA-1
ลับตาคน,
ลับปาก,
ลับฝีปาก,
ลับลมคมใน,lap4 lom1 Kom1 naj1
ลับลี้,
ลับล่อ,
ลับสมอง,
ลับสายตา,
ลับหน้า,
ลับหลัง,lap4 laN5
ลับหู,
ลับหูลับตา,
ลับแล,lap4 lY-1
ลับๆ ล่อๆ,
ลัพธิ,
ลัพธ์,lap4
ลัภ,
ลัภนะ,
ลัภย์,
ลัมพ์,
ลัมโบกินี,
ลัมโบร์กินี,
ลัย,laj1
ลัยกาล,
ลัยคต,
ลัาน,
ลั่ง,
ลั่น,lan3
ลั่นกุญแจ,lan3 kun1 cY-1
ลั่นคำ,lan3 Kam1
ลั่นฆ้อง,
ลั่นดาล,
ลั่นถัน,
ลั่นทม,lan3 Tom1
ลั่นนก,lan3 nok4
ลั่นปาก,lan3 pAk2
ลั่นวาจา,lan3 wA-1 cA-1
ลั่นไก,lan3 kaj1
ลา,lA-1
ลาก,lAk3
ลากก้าม,
ลากข้าง,lAk3 KAN3
ลากคอ,
ลากจูง,lAk3 cUN1
ลากตัว,
ลากถูลู่ถูกัง,lAk3 TU-5 lU-3 TU-5 kaN1
ลากษา,
ลากหนามจุกช่อง,
ลากอส,lA-1 kXt2
ลากิจ,lA-1 kit2
ลากเสียง,
ลากเส้น,
ลาก่อน,lA-1 kXn2
ลาขา,
ลาข้าวพระ,
ลาคลอด,lA-1 KlXt3
ลาง,lAN1
ลางคัล,
ลางงิด,
ลางดี,lAN1 dI-1
ลางที,lAN1 TI-1
ลางบอกเหตุ,
ลางร้าย,lAN1 rAj4
ลางลิง,
ลางสังหรณ์,lAN1 saN5 hXn5
ลางสาด,lAN1 sAt2
ลางาด,
ลางาน,
ลางเนื้อชอบลางยา,
ลาจาก,lA-1 cAk2
ลาช,
ลาชะ,
ลาชา,
ลาซานญ่า,
ลาญ,lAn1
ลาญทัก,
ลาด,lAt3
ลาดกระบัง,lAt3 kra-1 baN1
ลาดชัน,lAt3 Can1
ลาดตระเวณ,
ลาดตระเวน,lAt3 tra?2 wEn1
ลาดตะเคียน,
ลาดตะเวน,
ลาดทวีป,
ลาดพระบาท,lAt3 Pra-4 bAt2
ลาดพร้าว,lAt3 PrAw4
ลาดยาง,lAt3 jAN1
ลาดเขา,lAt3 Kaw5
ลาดเท,lAt3 TE-1
ลาดเลา,lAt3 law1
ลาดเอียง,
ลาตาย,
ลาติน,lA-1 tin1
ลาน,lAn1
ลานจอดรถ,lAn1 cXt2 rot4
ลานตา,lAn1 tA-1
ลานบิน,lAn1 bin1
ลานบ้าน,lAn1 bAn3
ลานประหาร,
ลานพลับพลามหาเจษฎาบดินทร์,
ลานวัด,
ลานสกา,
ลานีญา,lA-1 nI-1 jA-1
ลาบ,lAp3
ลาบราดอร์,
ลาบวช,
ลาป,
ลาปาซ,lA-1 pAs2
ลาป่วย,lA-1 pRj2
ลาผนวช,
ลาพรรษา,
ลาพอน,
ลาพัก,lA-1 Pak4
ลาพักร้อน,
ลาพุ,
ลาพุช,
ลาภ,lAp3
ลาภงอก,
ลาภปาก,lAp3 pAk2
ลาภผล,
ลาภมิควรได้,
ลาภลอย,lAp3 lXj1
ลาม,lAm1
ลามก,lA-1 mok4
ลามกอนาจาร,lA-1 mok4 ?a-2 nA-1 cAn1
ลามปาม,lAm1 pAm1
ลามลวน,
ลามะ,
ลามเลีย,
ลาย,lAj1
ลายก้นหอย,
ลายขัด,
ลายคราม,lAj1 KrAm1
ลายจม,
ลายฉลุ,
ลายดุน,lAj1 dun1
ลายตา,lAj1 tA-1
ลายนิ้วมือ,lAj1 niw4 mV-1
ลายน้ำ,
ลายน้ำทอง,
ลายพระบาท,
ลายพระหัตถ์,lAj1 Pra-4 hat2
ลายพร้อย,
ลายพาดกลอน,
ลายมัดหวาย,
ลายมือ,lAj1 mV-1
ลายมือชื่อ,lAj1 mV-1 CV-3
ลายมือบรรจง,
ลายลักษณ์,
ลายลักษณ์อักษร,lAj1 lak4 ?ak2 sXn5
ลายสอ,
ลายสอง,lAj1 sXN5
ลายสาบ,
ลายสือ,lAj1 sV-5
ลายสือไทย,
ลายอย่าง,
ลายฮ่อ,
ลายเขียนสี,
ลายเฉลว,
ลายเฉลวโปร่ง,
ลายเซ็น,lAj1 sen1
ลายเซ็นต์,lAj1 sen1
ลายเทศ,
ลายเบา,
ลายเส้น,lAj1 sen3
ลายแทง,lAj1 TYN1
ลายไทย,
ลายไพรกลม,
ลายไพรกาว,
ลายไพรคีบ,
ลายไพรยักคิ้ว,
ลายไม้,lAj1 mAj4
ลาริงซ์,
ลาลด,
ลาลนะ,
ลาลศ,
ลาลส,
ลาลับ,lA-1 lap4
ลาลา,
ลาลีกา,lA-1 lI-1 kA-1
ลาว,lAw1
ลาวก,
ลาวัณย์,
ลาวา,lA-1 wA-1
ลาสนะ,
ลาสิกขา,lA-1 sik2 KA-5
ลาสเวกัส,
ลาออก,lA-1 ?Xk2
ลาเง็ด,
ลาเต้,lA-1 te?3
ลาเพ,
ลาเพศ,lA-1 PEt3
ลาเพา,
ลาเล่ย์,
ลาโรง,
ลาโลก,
ลำ,lam1
ลำกระโดง,
ลำกล้อง,lam1 klXN3
ลำคลอง,lam1 KlXN1
ลำคอ,lam1 KX-1
ลำงาด,
ลำดวน,
ลำดับ,lam1 dap2
ลำดับขั้น,
ลำดับความสำคัญ,lam1 dap2 KwAm1 sam5 Kan1
ลำดับชั้น,lam1 dap2 Can4
ลำตะคอง,
ลำตัด,lam1 tat2
ลำตัว,lam1 tR-1
ลำต้น,lam1 ton3
ลำธาร,lam1 TAn1
ลำนัก,
ลำนำ,
ลำน้ำ,lam1 nam4
ลำบอง,
ลำบองราหู,
ลำบาก,lam1 bAk2
ลำบากยากเย็น,
ลำบากยากแค้น,
ลำบากลำบน,lam1 bAk2 lam1 bon1
ลำบากใจ,lam1 bAk2 caj1
ลำบุ,
ลำประโดง,
ลำปาง,lam1 pAN1
ลำปาว,
ลำปำ,
ลำพวน,
ลำพอง,lam1 PXN1
ลำพองใจ,lam1 PXN1 caj1
ลำพัง,lam1 PaN1
ลำพู,
ลำพูน,lam1 PUn1
ลำพูป่า,
ลำพู่กัน,
ลำภุขัน,
ลำมะลอก,
ลำมาด,
ลำมาบ,
ลำยอง,
ลำยา,
ลำราง,lam1 rAN1
ลำลอง,lam1 lXN1
ลำลาบ,
ลำลำ,
ลำลึก,lam1 lvk4
ลำหนัก,
ลำหักลำโค่น,
ลำห้วย,lam1 hRj3
ลำอุด,
ลำเข็ญ,
ลำเคือง,
ลำเค็ญ,lam1 Ken1
ลำเจียก,
ลำเจียกหนู,
ลำเนา,lam1 naw1
ลำเนาไพร,lam1 naw1 Praj1
ลำเพา,
ลำเพ็ญ,
ลำเมาะ,
ลำเมียบ,
ลำเลาะ,
ลำเลิก,lam1 lZk3
ลำเลียง,lam1 lJN1
ลำเลียบ,
ลำเวียง,
ลำเวียน,
ลำเสา,
ลำเอียก,
ลำเอียง,lam1 ?JN1
ลำแข,
ลำแขน,
ลำแข้ง,lam1 KYN3
ลำแพง,
ลำแพน,lam1 PYn1
ลำแพนหิน,
ลำแสง,lam1 sYN5
ลำโพง,lam1 PON1
ลำโอง,
ลำไพ่,lam1 Paj3
ลำไย,lam1 jaj1
ลำไส้,lam1 saj3
ลำไส้เล็ก,lam1 saj3 lek4
ลำไส้ใหญ่,lam1 saj3 jaj2
ลิ,li-4
ลิกขา,
ลิกนิน,
ลิกษา,
ลิกินแปดบท,
ลิกุจ,
ลิกู,
ลิกเตนสไตน์,lik4 ta-2 nEt2 taj1
ลิกแนน,
ลิกไนต์,
ลิขนะ,
ลิขสิทธิ์,lik4 Ka-2 sit2
ลิขิต,li?4 Kit2
ลิควิด,
ลิง,liN1
ลิงก์,liN1
ลิงคอล์น,liN1 KXn1
ลิงค์,liN1
ลิงจุ่น,liN1 cun2
ลิงชิงหลัก,liN1 CiN1 lak2
ลิงตกต้นไม้,
ลิงนั่งแป้น,
ลิงลม,
ลิงลาน,
ลิงล้างก้น,
ลิงหลอกเจ้า,
ลิงอุรังอุตัง,liN1 ?u?2 raN1 ?u?2 taN1
ลิงแสม,liN1 sa-1 mY-5
ลิงโลด,liN1 lOt3
ลิงโลดใจ,liN1 lOt3 caj1
ลิงได้แก้ว,
ลิจฉวี,
ลิด,lit4
ลิดตีนปู,
ลิดรอน,lit4 rXn1
ลิต,
ลิตมัส,
ลิตร,lit4
ลิทัวเนีย,li?4 TR-1 nJ-1
ลินคอล์น,lin1 KXn1
ลินจง,
ลินลา,
ลินลากระทุ่ม,
ลินลากระบี่,
ลินสีด,
ลินิน,li?4 nin1
ลินุกซ์,li?4 nuk4
ลินโกรย,
ลิบ,lip4
ลิบ ๆ,
ลิบง,
ลิบลับ,lip4 lap4
ลิบลิ่ว,lip4 liw3
ลิป,
ลิปซิงค์,lip4 siN1
ลิปดา,lip4 dA-1
ลิปตัน,
ลิปต์,
ลิปสติก,lip4 sa-1 tik2
ลิปิ,
ลิปิกร,
ลิปิการ,
ลิฟต์,lif4
ลิฟต์วัลเล่,
ลิฟท์,lif4
ลิมปนะ,
ลิมป์,
ลิมป์โฟมา,
ลิมิต,
ลิมิเต็ด,
ลิมูซีน,
ลิมโฟซัยท์,
ลิลลี่,lin1 lI-3
ลิลิต,li?4 lit4
ลิลิตดั้น,
ลิลิตสุภาพ,
ลิว,liw1
ลิวโคไทรอีน,
ลิสง,li-1 soN5
ลิสต์,
ลิสบอน,lit4 bXn1
ลิสเตอรีน,
ลิเก,li?4 kE-1
ลิเกลูกบท,
ลิเทียม,li?4 TJm1
ลิเบอรัล,
ลิเบอร์ตี้,
ลิเบีย,li?4 bJ-1
ลิเภา,
ลิเวอร์พูล,
ลิโด้,
ลิโนเลอิก,
ลิโพ,
ลิโมนีน,
ลิไท,
ลิไทย,
ลิ่น,
ลิ่นต้น,
ลิ่นทะเล,
ลิ่นฮื้อ,
ลิ่ม,lim3
ลิ่มเลือด,lim3 lWt3
ลิ่ว,liw3
ลิ่ว ๆ,
ลิ่วล้อ,liw3 lX-4
ลิ้งค์,liN4
ลิ้น,lin4
ลิ้นกบ,
ลิ้นกระดาน,
ลิ้นกระดาษทราย น้ำลายเชลแล็ก,
ลิ้นกระด้างคางแข็ง,
ลิ้นกระบือ,
ลิ้นกับฟัน,
ลิ้นควาย,
ลิ้นคับปาก,lin4 Kap4 pAk2
ลิ้นงูเห่า,
ลิ้นจะกวด,
ลิ้นจี่,lin4 cI-2
ลิ้นจุกปาก,
ลิ้นชัก,lin4 Cak4
ลิ้นชักโต๊ะ,
ลิ้นตก,
ลิ้นตวัดถึงหู,
ลิ้นตวัดถึงใบหู,
ลิ้นตะกวด,
ลิ้นทอง,lin4 TXN1
ลิ้นทะเล,lin4 Ta-1 lE-1
ลิ้นทูต,
ลิ้นปี่,lin4 pI-2
ลิ้นพัน,
ลิ้นมังกร,
ลิ้นยาวถึงตาตุ่ม,
ลิ้นลม,lin4 lom1
ลิ้นลังกา,
ลิ้นลา,
ลิ้นลาย,
ลิ้นสองแฉก,
ลิ้นสุนัข,
ลิ้นหมา,
ลิ้นหมาหงอนยาว,
ลิ้นหัวใจ,lin4 hR-5 caj1
ลิ้นหีบ,
ลิ้นห้อย,lin4 hXj3
ลิ้นอ่อน,
ลิ้นเสือ,
ลิ้นแข็ง,
ลิ้นไก่,lin4 kaj2
ลิ้นไก่สั้น,
ลิ้นไม่มีกระดูก,
ลิ้ม,lim4
ลิ้มรส,lim4 rot4
ลิ้มลอง,lim4 lXN1
ลี,lI-1
ลีก,lIk2
ลีค,lIk3
ลีจีโอเนลลา,
ลีซอ,lI-1 sX-1
ลีด,lIt3
ลีดส์,
ลีดเดอร์,
ลีนุกซ์,lI-1 nuk4
ลีบ,lIp3
ลีร์อิตาลี,
ลีลา,lI-1 lA-1
ลีลากระทุ่ม,
ลีลาวดี,lI-1 lAw1 dI-1
ลีลาศ,lI-1 lAt3
ลีวายส์,
ลีฬหา,
ลีเมอร์,
ลีโอ,lI-1 ?O-1
ลีโอน,
ลี่,lI-3
ลี่เจียง,
ลี้,lI-4
ลี้ภัย,lI-4 Paj1
ลี้ลับ,lI-4 lap4
ลึก,lvk4
ลึกซึ้ง,lvk4 svN4
ลึกลับ,lvk4 lap4
ลึกลับซับซ้อน,lvk4 lap4 sap4 sXn4
ลึกลือ,
ลึกล้ำ,lvk4 lam4
ลึงค์,lvN1
ลึงค์นายพราน,
ลืด,
ลืบ,
ลืม,lVm1
ลืมกลืน,
ลืมคอน,
ลืมตน,
ลืมตัว,lVm1 tR-1
ลืมตา,lVm1 tA-1
ลืมตาอ้าปาก,lVm1 tA-1 ?A-3 pAk2
ลืมต้น,
ลืมรัง,
ลืมสนิท,lVm1 sa-1 nit2
ลืมหน้าอ้าปาก,lVm1 nA-3 ?A-3 pAk2
ลืมหูลืมตา,lVm1 hU-5 lVm1 tA-1
ลืมเลือน,lVm1 lWn1
ลือ,lV-1
ลือกระฉ่อน,
ลือชา,lV-1 CA-1
ลือชาปรากฏ,lV-1 CA-1 prA-1 kot2
ลือชื่อ,lV-1 CV-3
ลือนาม,lV-1 nAm1
ลือลั่น,
ลือสาย,lV-1 sAj5
ลือเลื่อง,lV-1 lWN3
ลื่น,lVn3
ลื่นล้ม,lVn3 lom4
ลื่นไถล,lVn3 Ta-2 laj5
ลื่นไหล,lVn3 laj5
ลื่อ,
ลื้น,
ลื้น ๆ,
ลื้อ,lV-4
ลุ,lu?4
ลุก,luk4
ลุกขึ้น,luk4 Kvn3
ลุกลน,luk4 lon1
ลุกลาม,luk4 lAm1
ลุกลี้ลุกลน,luk4 lI-4 luk4 lon1
ลุกฮือ,luk4 hV-1
ลุกะโทษ,
ลุกเป็นไฟ,luk4 pen1 faj1
ลุกโชติช่วง,
ลุกโชน,luk4 COn1
ลุกไหม้,luk4 maj3
ลุค,luk4
ลุง,luN1
ลุต,
ลุท,
ลุทกะ,
ลุทธ์,
ลุปต์,
ลุพธกะ,
ลุพธ์,
ลุมป์,
ลุมพินี,lum1 Pi?4 nI-1
ลุมพี,
ลุมพู,
ลุย,luj1
ลุยลาย,
ลุยเซียนา,
ลุลาย,
ลุล่วง,lu?4 lRN3
ลุสา,
ลุอำนาจ,lu?4 ?am1 nAt3
ลุแก่อำนาจ,lu?4 kY-2 ?am1 nAt3
ลุแก่โทษ,lu?4 kY-2 TOt3
ลุแก่โทสะ,
ลุโทสะ,
ลุโบะปาเระ,
ลุโบ๊ะยือไร,
ลุโสดา,
ลุ่ทาง,
