thai,phone
กนิษฐภคินี,ka2 ni4t Ta2 Pa4 Ki4ʔ nI1
กนิษฐา,ka2 ni4t TA5
กบ,ko2p
กบกินเดือน,ko2p ki1n dR1n
กบจำศีล,ko2p ca1m sI5n
กบดาน,ko2p dA1n
กบดำกบแดง,ko2p da1m ko2p dY1ŋ
กบไต๋,ko2p ta5j
กบไฟฟ้า,ko2p fa1j fA4
กบไสไม้,ko2p sa5j mA4j
กบเหลา,ko2p la5w
กบเหลาดินสอ,ko2p la5w di1n sX5
กบอยู่ในกะลา,ko2p jU2 na1j ka2ʔ lA1
กบ.,kra2ʔ bI2
กบ.ปปป.,kX1 bX1 pX1 pX1 pX1
กบง.,kX1 bX1 ŋX1
กบฎ,ka2 bo2t
กบฏ,ka2 bo2t
กบอ.,kX1 bX1 ʔX1
กบาล,ka2 bA1n
กบาลเมือง,ka2 bA1n mR1ŋ
กบิลพัสดุ์,ka2ʔ bi2ʔ la4ʔ Pa4t
กเบรียล,ka2 bE1 rI1 jo1n
กปช.,kX1 pX1 CX1
กปปส.,kX1 pX1 pX1 sX5
กปภ.,kX1 pX1 PX1
กปส.,kX1 pX1 sX5
กพ.,ka1m PY1ŋ PE3t
กพช.,kX1 PX1 CX1
กพฐ.,kX1 PX1 TX5
กพท.,kX1 PX1 TX1
กฟน.,kX1 fX1 nX1
กฟผ.,kX1 fX1 PX5
กฟภ.,kX1 fX1 PX1
กม,ko1m
ก้ม,ko3m
ก้มกราน,ko3m krA1n
ก้มตัว,ko3m tV1
ก้มต่ำ,ko3m ta2m
ก้มลง,ko3m lo1ŋ
ก้มหน้า,ko3m nA3
ก้มหน้าก้มตา,ko3m nA3 ko3m tA1
ก้มหน้าก้มตาอ่าน,ko3m nA3 ko3m tA1 ʔA2n
ก้มหัว,ko3m hV5
กม.,kX1 mX1
กมธ.,kX1 mX1 TX1
กมล,ka2 mo1n
กมลา,ka2 ma4 lA1
กยศ.,kX1 jX1 sX5
กร,kX1n
กรกฎ,kX1 ra4 ko2t
กรกฎาคม,ka2 ra4 ka2 dA1 Ko1m
กรง,kro1ŋ
กรงขัง,kro1ŋ Ka5ŋ
กรงทอง,kro1ŋ TX1ŋ
กรงเล็บ,kro1ŋ le4p
กรณ์,kX1n
กรณี,ka2 ra4 nI1
กรณีจำเป็น,ka2 ra4 nI1 ca1m pe1n
กรณีฉุกเฉิน,ka2 ra4 nI1 Cu2k CZ5n
กรณีตัวอย่าง,ka2 ra4 nI1 tV1 jA2ŋ
กรณีพิพาท,ka2 ra4 nI1 Pi4ʔ PA3t
กรณีพิเศษ,ka2 ra4 nI1 Pi4ʔ sE2t
กรณีศึกษา,ka2 ra4 nI1 sɯ2k sA5
กรณีย์,ka2 ra4 nI1
กรณียกิจ,ka2 ra4 nI1 ja4 ki2t
กรด,kro2t
กรดกัดแก้ว,kro2t ka2t kY3w
กรดกำมะถัน,kro2t ka1m ma4ʔ Ta5n
กรดเกลือ,kro2t klR1
กรดไขมัน,kro2t Ka5j ma1n
กรดไขมันไม่อิ่มตัว,kro2t Ka5j ma1n ma3j ʔi2m tV1
กรดไขมันอิ่มตัว,kro2t Ka5j ma1n ʔi2m tV1
กรดซัลฟิวริก,kro2t sa1n fi1w ri4k
กรดที่บรรจุหน่วยพันธุกรรม,kro2t TI3 ba1n cu2ʔ nV2j Pa1n Tu4ʔ ka1m
กรดน้ำส้ม,kro2t na4m so3m
กรดบอริก,kro2t bX1 ri4k
กรดฟอร์มิก,kro2t fX1 mi4k
กรดโฟลิค,kro2t fO1 li4k
กรดแลคติค,kro2t lY3k ti2k
กรดไหลย้อน,kro2t la5j jX4n
กรดไหลย้อนกลับ,kro2t la5j jX4n kla2p
กรดอะเซติก,kro2t ʔa2ʔ sE1 ti2k
กรดอะมิโน,kro2t ʔa2ʔ mi4ʔ nO1
กรดไฮโดรคลอริก,kro2t ha1j drO1 KlX1 ri4k
กรดไฮโดรไซยานิก,kro2t ha1j drO1 sa1j jA1 ni4k
กรธ.,kX1 rX1 TX1
กรน,kro1n
กรบูร,ka2 ra4 bU1n
กรม,kro1m
กรมการขนส่งทางบก,kro1m kA1n Ko5n so2ŋ TA1ŋ bo2k
กรมการขนส่งทางราง,kro1m kA1n Ko5n so2ŋ TA1ŋ rA1ŋ
กรมการขนส่งทางอากาศ,kro1m kA1n Ko5n so2ŋ TA1ŋ ʔA1 kA2t
กรมการข้าว,kro1m kA1n KA3w
กรมการค้าต่างประเทศ,kro1m kA1n KA4 tA2ŋ pra2ʔ TE3t
กรมการค้าภายใน,kro1m kA1n KA4 PA1j na1j
กรมการเงินกลาโหม,kro1m kA1n ŋə1n ka2 lA1 hO5m
กรมการจัดหางาน,kro1m kA1n ca2t hA5 ŋA1n
กรมการบินพาณิชย์,kro1m kA1n bi1n PA1 ni4t
กรมการปกครอง,kro1m kA1n po2k KrX1ŋ
กรมการพลังงานทหาร,kro1m kA1n Pa4 la1ŋ ŋA1n Ta4 hA5n
กรมการพัฒนาชุมชน,kro1m kA1n Pa4t Ta4 nA1 Cu1m Co1n
กรมการแพทย์,kro1m kA1n PY3t
กรมการรักษาดินแดน,kro1m kA1n ra4k sA5 di1n dY1n
กรมการอุตสาหกรรมทหาร,kro1m kA1n ʔu2t sA5 ha2ʔ ka1m Ta4 hA5n
กรมควบคุมโรค,kro1m KV3p Ku1m rO3k
กรมควบคุมและป้องกันโรค,kro1m KV3p Ku1m lɛ4ʔ pX3ŋ ka1n rO3k
