thai,phone
พนักงานชั่วคราว,Pa4 na4k ŋA1n CV3 KrA1w
พนักงานดับเพลิง,Pa4 na4k ŋA1n da2p PlZ1ŋ
พนักงานต้อนรับ,Pa4 na4k ŋA1n tX3n ra4p
พนักงานต้อนรับบนเครื่องบิน,Pa4 na4k ŋA1n tX3n ra4p bo1n KrR3ŋ bi1n
พนักงานต้อนรับสาว,Pa4 na4k ŋA1n tX3n ra4p sA5w
พนักงานทำความสะอาด,Pa4 na4k ŋA1n Ta1m KwA1m sa2ʔ ʔA2t
พนักงานโทรศัพท์,Pa4 na4k ŋA1n TO1 ra4 sa2p
พนักงานธนาคาร,Pa4 na4k ŋA1n Ta4 nA1 KA1n
พนักงานนวดชาย,Pa4 na4k ŋA1n nV3t CA1j
พนักงานนวดหญิง,Pa4 na4k ŋA1n nV3t ji5ŋ
พนักงานบริการ,Pa4 na4k ŋA1n bX1 ri4ʔ kA1n
พนักงานบริการเติมน้ำมัน,Pa4 na4k ŋA1n bX1 ri4ʔ kA1n tZ1m na4m ma1n
พนักงานบริการบนเครื่องบิน,Pa4 na4k ŋA1n bX1 ri4ʔ kA1n bo1n KrR3ŋ bi1n
พนักงานบริษัท,Pa4 na4k ŋA1n bX1 ri4ʔ sa2t
พนักงานบัญชี,Pa4 na4k ŋA1n ba1n CI1
พนักงานประจำ,Pa4 na4k ŋA1n pra2ʔ ca1m
พนักงานประจำห้อง,Pa4 na4k ŋA1n pra2ʔ ca1m hX3ŋ
พนักงานไปรษณีย์,Pa4 na4k ŋA1n pra1j sa2 nI1
พนักงานฝึกหัด,Pa4 na4k ŋA1n fɯ2k ha2t
พนักงานพิมพ์ดีด,Pa4 na4k ŋA1n Pi1m dI2t
พนักงานพิสูจน์อักษร,Pa4 na4k ŋA1n Pi4ʔ sU2t ʔa2k sX5n
พนักงานยกสินค้า,Pa4 na4k ŋA1n jo4k si5n KA4
พนักงานรักษาความปลอดภัย,Pa4 na4k ŋA1n ra4k sA5 KwA1m plX2t Pa1j
พนักงานรักษาเงิน,Pa4 na4k ŋA1n ra4k sA5 ŋə1n
พนักงานรังวัด,Pa4 na4k ŋA1n ra1ŋ wa4t
พนักงานรับจ่ายเงิน,Pa4 na4k ŋA1n ra4p cA2j ŋə1n
พนักงานรับโทรศัพท์,Pa4 na4k ŋA1n ra4p TO1 ra4 sa2p
พนักงานรับรอง,Pa4 na4k ŋA1n ra4p rX1ŋ
พนักงานเสิร์ฟ,Pa4 na4k ŋA1n sZ2f
พนักงานเสิร์ฟชาย,Pa4 na4k ŋA1n sZ2f CA1j
พนักงานเสิร์ฟหญิง,Pa4 na4k ŋA1n sZ2f ji5ŋ
พนัง,Pa4 na1ŋ
พนังม้า,Pa4 na1ŋ mA4
พนัน,Pa4 na1n
พนันขันต่อ,Pa4 na1n Ka5n tX2
พนันหมด,Pa4 na1n mo2t
พนา,Pa4 nA1
พนาสัณฑ์,Pa4 nA1 sa5n
พนาลัย,Pa4 nA1 la1j
พนาลี,Pa4 nA1 lI1
พนิต,Pa4 ni4t
พเนจร,Pa4 nE1 cX1n
พบ,Po4p
พบกัน,Po4p ka1n
พบกันโดยบังเอิญ,Po4p ka1n dO1j ba1ŋ ʔZ1n
พบกับ,Po4p ka2p
พบเจอ,Po4p cZ1
พบโดยบังเอิญ,Po4p dO1j ba1ŋ ʔZ1n
พบปะ,Po4p pa2ʔ
พบพาน,Po4p PA1n
พบหน้า,Po4p nA3
พบหา,Po4p hA5
พบเห็น,Po4p he5n
พบ.,PE3t bu2ʔ rI1
พบู,Pa4 bU1
พปช.,PX1 pX1 CX1
พปธ.,PX1 pX1 TX1
พฟด.,PX1 fX1 dX1
พม.,kra2ʔ sV1ŋ kA1n Pa4t Ta4 nA1 sa5ŋ Ko1m lɛ4ʔ KwA1m ma3n Ko1ŋ KX5ŋ ma4 nu4t
พม่า,Pa4 mA3
พย.,Pa4ʔ ja1w
พยช,Pa4 jo4t Ca4
พยชน์,Pa4 jo4t
พยนต์,Pa4 jo1n
พยพ,Pa4 jo4p
พยศ,Pa4 jo4t
พยอม,Pa4 jX1m
พยัก,Pa4 ja4k
พยักหน้า,Pa4 ja4k nA3
พยักพเยิด,Pa4 ja4k Pa4 jZ3t
พยัคฆ์,Pa4 ja4k
พยัญชนะ,Pa4 ja1n Ca4 na4ʔ
พยัญชนะที่เกิดกับเพดานแข็ง,Pa4 ja1n Ca4 na4ʔ TI3 kZ2t ka2p PE1 dA1n Kɛ5ŋ
พยัญชนะที่เกิดปลายลิ้นกับปุ่มเหงือก,Pa4 ja1n Ca4 na4ʔ TI3 kZ2t plA1j li4n ka2p pu2m ŋR2k
พยัญชนะนาสิก,Pa4 ja1n Ca4 na4ʔ nA1 si2k
พยัญชนะเสียงข้างลิ้น,Pa4 ja1n Ca4 na4ʔ sJ5ŋ KA3ŋ li4n
พยัญชนะเสียงควบกล้ำ,Pa4 ja1n Ca4 na4ʔ sJ5ŋ KV3p kla3m
พยัญชนะเสียงรัว,Pa4 ja1n Ca4 na4ʔ sJ5ŋ rV1
พยัญชนะเสียงเสียดแทรก,Pa4 ja1n Ca4 na4ʔ sJ5ŋ sJ2t sY3k
พยัญชนะเหลว,Pa4 ja1n Ca4 na4ʔ lE5w
พยัญชนะที่เกิดริมฝีปากกับฟันบน,Pa4 ja1n Ca4 na4ʔ TI3 kZ2t ri1m fI5 pA2k ka2p fa1n bo1n
พยัญชนะที่เกิดริมฝีปากทั้นสอง,Pa4 ja1n Ca4 na4ʔ TI3 kZ2t ri1m fI5 pA2k Ta4n sX5ŋ
พยับ,Pa4 ja4p
พยับแดด,Pa4 ja4p dY2t
พยับหมอก,Pa4 ja4p mX2k
พยากร,Pa4 jA1 kX1n
พยากรณ์,Pa4 jA1 kX1n
พยากรณ์อากาศ,Pa4 jA1 kX1n ʔA1 kA2t
พยางค์,Pa4 jA1ŋ
พยาธิ์,Pa4 jA3t
พยาธิ์ตัวกลม,Pa4 jA3t tV1 klo1m
พยาธิ์ตัวตืด,Pa4 jA3t tV1 tW2t
พยาธิ์ปากขอ,Pa4 jA3t pA2k KX5
พยาธิ์เส้นด้าย,Pa4 jA3t se3n dA3j
พยาธิ,Pa4 jA1 Ti4ʔ
พยาธิชีววิทยา,Pa4 jA1 Ti4ʔ CI1 wa4 wi4t Ta4 jA1
พยาธิตัวจี๊ด,Pa4 jA1 Ti4ʔ tV1 cI4t
พยาธิใบไม้ตับ,Pa4 jA1 Ti4ʔ ba1j mA4j ta2p
พยาธิวิทยา,Pa4 jA1 Ti4ʔ wi4t Ta4 jA1
พยาธิสภาพ,Pa4 jA1 Ti4ʔ sa2 PA3p
พยาน,Pa4 jA1n
พยานในเชิงวิชาการ,Pa4 jA1n na1j CZ1ŋ wi4ʔ CA1 kA1n
พยานบุคคล,Pa4 jA1n bu2k Ko1n
พยานปากเอก,Pa4 jA1n pA2k ʔE2k
พยานพระยะโฮวา,Pa4 jA1n Pra4ʔ ja4ʔ hO1 wA1
พยานวัตถุ,Pa4 jA1n wa4t Tu2ʔ
พยานแวดล้อม,Pa4 jA1n wY3t lX4m
พยานแวดล้อมกรณี,Pa4 jA1n wY3t lX4m ka2 ra4 nI1
พยานหลักฐาน,Pa4 jA1n la2k TA5n
พยานเอกสาร,Pa4 jA1n ʔE2k ka2 sA5n
พยาบาท,Pa4 jA1 bA2t
พยาบาล,Pa4 jA1 bA1n
พยายาม,Pa4 jA1 jA1m
พยายามข่มขืน,Pa4 jA1 jA1m Ko2m KW5n
พยายามดึง,Pa4 jA1 jA1m dɯ1ŋ
พยุง,Pa4 ju1ŋ
พยุงฐานะ,Pa4 ju1ŋ TA5 na4ʔ
พยุงตัวและรถไว้ได้,Pa4 ju1ŋ tV1 lɛ4ʔ ro4t wa4j da3j
พยุงปีก,Pa4 ju1ŋ pI2k
พยุงไม่ให้ล้มลง,Pa4 ju1ŋ ma3j ha3j lo4m lo1ŋ
พยุงราคา,Pa4 ju1ŋ rA1 KA1
พยุห,Pa4 ju4ʔ ha2
พยุหโยธา,Pa4 ju4ʔ ha2 jO1 TA1
พยุหแสนยา,Pa4 ju4ʔ ha2 sY5n jA1
พยุหยาตรา,Pa4ʔ ju4ʔ jA2t trA1
พยุหะ,Pa4 ju4ʔ ha2ʔ
พร,PX1n
พรประเสริฐ,PX1n pra2ʔ sZ2t
พรสวรรค์,PX1n sa2 wa5n
พร.,PrY3
พรก.,PX1 rX1 kX1
พรชัย,PX1n Ca1j
พรต,Pro4t
พรทิพย์,PX1n Ti4p
พรพรรณ,PX1n Pa1n
พรพันธ์,PX1n Pa1n
พรพันธุ์,PX1n Pa1n
พรม,Pro1m
พรมเช็ดเท้า,Pro1m Ce4t TA4w
พรมด้วย,Pro1m dV3j
พรมวิเศษ,Pro1m wi4ʔ sE2t
พรมแดน,Pro1m dY1n
พรรค์,Pa1n
พรรค,Pa4k
พรรคกสิกรไทย,Pa4k ka2 si2ʔ kX1n Ta1j
พรรคการเมือง,Pa4k kA1n mR1ŋ
พรรคการเมืองเสียงข้างมาก,Pa4k kA1n mR1ŋ sJ5ŋ KA3ŋ mA3k
พรรคการเมืองใหม่,Pa4k kA1n mR1ŋ ma2j
พรรคกิจสังคม,Pa4k ki2t sa5ŋ Ko1m
พรรคความหวังใหม่,Pa4k KwA1m wa5ŋ ma2j
พรรคคอมมิวนิสต์,Pa4k KX1m mi1w ni4t
พรรคคอมมิวนิสต์แห่งประเทศไทย,Pa4k KX1m mi1w ni4t hɛ2ŋ pra2ʔ TE3t Ta1j
พรรคจารีตนิยม,Pa4k cA1 rI3t ni4 ja4ʔ ma4
พรรคชาติไทยพัฒนา,Pa4k CA3t Ta1j Pa4t Ta4 nA1
พรรคชาติไทยพัฒนาเพื่อแผ่นดิน,Pa4k CA3t Ta1j Pa4t Ta4 nA1 PR3 Pɛ2n di1n
พรรคชาตินิยม,Pa4k CA3t ni4ʔ jo1m
พรรคชาติสามัคคี,Pa4k CA3t sA5 ma4k KI1
พรรคชีวิตที่ดีกว่า,Pa4k CI1 wi4t TI3 dI1 kwA2
พรรคดำรงไทย,Pa4k da1m ro1ŋ Ta1j
พรรคแทนคุณแผ่นดิน,Pa4k TY1n Ku1n Pɛ2n di1n
พรรคไทยเป็นไท,Pa4k Ta1j pe1n Ta1j
พรรคไทยเป็นสุข,Pa4k Ta1j pe1n su2k
พรรคไทยพอเพียง,Pa4k Ta1j PX1 PJ1ŋ
พรรคไทยรักไทย,Pa4k Ta1j ra4k Ta1j
พรรคไทยสร้างสรรค์,Pa4k Ta1j sA3ŋ sa5n
พรรคนาวิกโยธิน,Pa4k nA1 wi4k ka2 jO1 Ti1n
พรรคนาวิน,Pa4k nA1 wi1n
พรรคบำรุงเมือง,Pa4k ba1m ru1ŋ mR1ŋ
พรรคประชาธรรม,Pa4k pra2ʔ CA1 Ta1m
พรรคประชาสันติ,Pa4k pra2ʔ CA1 sa5n ti2ʔ
พรรคประชากรไทย,Pa4k pra2ʔ CA1 kX1n Ta1j
พรรคประชาชนชาวไทย,Pa4k pra2ʔ CA1 Co1n CA1w Ta1j
พรรคประชาธิปไตยใหม่,Pa4k pra2ʔ CA1 Ti4p pa2 ta1j ma2j
พรรคประชาธิปัตย์,Pa4k pra2ʔ CA1 Ti4ʔ pa2t
พรรคพลังคนกีฬา,Pa4k Pa4 la1ŋ Ko1n kI1 lA1
พรรคพลังชน,Pa4k Pa4 la1ŋ Co1n
พรรคพลังชล,Pa4k Pa4 la1ŋ Co1n
พรรคพลังชาวนาไทย,Pa4k Pa4 la1ŋ CA1w nA1 Ta1j
พรรคพลังประชาชน,Pa4k Pa4 la1ŋ pra2ʔ CA1 Co1n
พรรคพลังประชารัฐ,Pa4k Pa4 la1ŋ pra2ʔ CA1 ra4t
พรรคพลังมวลชน,Pa4k Pa4 la1ŋ mV1n Co1n
พรรคพลังสังคมไทย,Pa4k Pa4 la1ŋ sa5ŋ Ko1m Ta1j
พรรคพวก,Pa4k PV3k
พรรคพวกบริวารว่านเครือ,Pa4k PV3k bX1 ri4ʔ wA1n wA3n KrR1
พรรคเพื่อไทย,Pa4k PR3 Ta1j
พรรคเพื่อประชาชนไทย,Pa4k PR3 pra2ʔ CA1 Co1n Ta1j
พรรคเพื่อฟ้าดิน,Pa4k PR3 fA4 di1n
พรรคเพื่อนเกษตรไทย,Pa4k PR3n ka2 sE2t Ta1j
พรรคภูมิใจไทย,Pa4k PU1m ca1j Ta1j
พรรคมหรัฐพัฒนา,Pa4k ma4 ha2 ra4t Pa4t Ta4 nA1
พรรคมหาชน,Pa4k ma4 hA5 Co1n
พรรคมาตุภูมิ,Pa4k mA1 tu2ʔ PU1m
พรรครวมใจชาติพัฒนา,Pa4k rV1m ca1j CA3t Pa4t Ta4 nA1
พรรคร่วม,Pa4k rV3m
พรรครักประเทศไทย,Pa4k ra4k pra2ʔ TE3t Ta1j
พรรครักแผ่นดิน,Pa4k ra4k Pɛ2n di1n
พรรครักษ์สันติ,Pa4k ra4k sa5n ti2ʔ
พรรคสังคมนิยม,Pa4k sa5ŋ Ko1m ni4ʔ jo1m
พรรคสามัคคีธรรม,Pa4k sA5 ma4k KI1 Ta1m
พรรคเสรีนิยม,Pa4k sE5 rI1 ni4ʔ jo1m
พรรคอนาคตใหม่,Pa4k ʔa2 nA1 Ko4t ma2j
พรรคอนุรักษ์นิยม,Pa4k ʔa2 nu4ʔ ra4k ni4ʔ jo1m
พรรคอาสามาตุภูมิ,Pa4k ʔA1 sA5 mA1 tu2ʔ PU1m
พรรณ,Pa1n
พรรณไม้,Pa1n mA4j
พรรณนา,Pa1n na4 nA1
พรรณราย,Pa1n rA1j
พรรณี,Pa1n nI1
พรรดึก,Pa1n ra4 dɯ2k
พรรษา,Pa1n sA5
พรรัมภา,PX1n ra1m PA1
พรวด,PrV3t
พรวดพราด,PrV3t PrA3t
พรวน,PrV1n
พรวนดิน,PrV1n di1n
พรหม,Pro1m
พรหมจรรย์,Pro1m ma4ʔ ca1n
พรหมจารี,Pro1m ma4ʔ cA1 rI1
พรหมชาติ,Pro1m ma4ʔ CA3t
พรหมเรขา,Pro1m rE1 KA5
พรหมลิขิต,Pro1m li4ʔ Ki2t
พรหมวิหาร,Pro1m ma4ʔ wi4ʔ hA5n
พรหมวิหารสี่,Pro1m wi4ʔ hA5n sI2
พรหมสี่หน้า,Pro1m sI2 nA3
พร่อง,PrX3ŋ
พร้อง,PrX4ŋ
พรอบเลม,PrX3p lE1m
พร้อม,PrX4m
พร้อมกัน,PrX4m ka1n
พร้อมกันนั้น,PrX4m ka1n na4n
พร้อมกับ,PrX4m ka2p
พร้อมจังหวะ,PrX4m ca1ŋ wa2ʔ
พร้อมใจ,PrX4m ca1j
พร้อมใจกัน,PrX4m ca1j ka1n
พร้อมใจกันหยุดงาน,PrX4m ca1j ka1n ju2t ŋA1n
พร้อมด้วย,PrX4m dV3j
พร้อมตา,PrX4m tA1
พร้อมทุกเมื่อ,PrX4m Tu4k mR3
พร้อมเพรียง,PrX4m PrJ1ŋ
พร้อมเฟอร์,PrX4m fZ1
พร้อมล้อหมุน,PrX4m lX4 mu5n
พร้อมสรรพ,PrX4m sa2p
พร้อมหน้า,PrX4m nA3
พร้อมหน้าพร้อมตา,PrX4m nA3 PrX4m tA1
พร้อมให้,PrX4m ha3j
พร้อมอกพร้อมใจ,PrX4m ʔo2k PrX4m ca1j
พร้อมพรัก,PrX4m Pra4k
พร้อมพรั่ง,PrX4m Pra3ŋ
พร้อย,PrX4j
พระ,Pra4ʔ
พระกนิษฐา,Pra4ʔ ka2 ni4t TA5
พระกร,Pra4ʔ kX1n
พระกรรณ,Pra4ʔ ka1n
พระกระยาหาร,Pra4ʔ kra2ʔ jA1 hA5n
พระกัจฉะ,Pra4ʔ ka2t Ca2ʔ
พระกาฬ,Pra4ʔ kA1n
พระกิตติคุณ,Pra4ʔ ki2t ti2ʔ Ku1n
พระเกศ,Pra4ʔ kE2t
พระเกียรติ,Pra4ʔ kJ2t
พระแก้วมรกต,Pra4ʔ kY3w mX1 ra4 ko2t
พระเขนย,Pra4ʔ Ka2 nZ5j
พระคเณศ,Pra4ʔ Ka4 nE3t
พระคริสต์,Pra4ʔ Kri4t
พระคริสตธรรมใหม่,Pra4ʔ Kri4ʔ so2t Ta1m ma2j
พระคัมภีร์,Pra4ʔ Ka1m PI1
พระคัมภีร์ไบเบิล,Pra4ʔ Ka1m PI1 ba1j bZ1n
พระคัมภีร์ไบเบิลฉบับภาษาไทย,Pra4ʔ Ka1m PI1 ba1j bZ1n Ca2 ba2p PA1 sA5 Ta1j
พระคัมภีร์พันธสัญญาเก่า,Pra4ʔ Ka1m PI1 Pa1n Ta4 sa5n jA1 ka2w
พระคัมภีร์ภาคพันธสัญญาเดิม,Pra4ʔ Ka1m PI1 PA3k Pa1n Ta4 sa5n jA1 dZ1m
พระคัมภีร์ภาคพันธสัญญาใหม่,Pra4ʔ Ka1m PI1 PA3k Pa1n Ta4 sa5n jA1 ma2j
พระเครื่องลาง,Pra4ʔ KrR3ŋ lA1ŋ
พระจันทร์,Pra4ʔ ca1n
พระจันทร์ข้างแรมสามค่ำ,Pra4ʔ ca1n KA3ŋ rY1m sA5m Ka3m
พระจันทร์เต็มดวง,Pra4ʔ ca1n te1m dV1ŋ
พระจันทร์ทรงกลด,Pra4ʔ ca1n so1ŋ klo2t
พระจันทร์วันเพ็ญ,Pra4ʔ ca1n wa1n Pe1n
พระเจ้า,Pra4ʔ ca3w
พระเจ้าจักรพรรดิ,Pra4ʔ ca3w ca2k kra2ʔ Pa4t
พระเจ้าแผ่นดิน,Pra4ʔ ca3w Pɛ2n di1n
พระเจ้าลูกเธอ,Pra4ʔ ca3w lU3k TZ1
พระเจ้าลูกยาเธอ,Pra4ʔ ca3w lU3k jA1 TZ1
พระเจ้าวรวงศ์เธอ,Pra4ʔ ca3w wX1 ra4ʔ wo1ŋ TZ1
พระเจ้าวรวงศ์เธอที่ทรงกรม,Pra4ʔ ca3w wX1 ra4ʔ wo1ŋ TZ1 TI3 so1ŋ kro1m
พระเจ้าวรวงศ์เธอที่มิได้ทรงกรม,Pra4ʔ ca3w wX1 ra4ʔ wo1ŋ TZ1 TI3 mi4ʔ da3j so1ŋ kro1m
พระเจ้าหลานเธอพระองค์เจ้าทีปังกรรัศมีโชติ,Pra4ʔ ca3w lA5n TZ1 Pra4ʔ ʔo1ŋ ca3w TI1 pa1ŋ kX1n ra4t sa2 mI5 CO1 ti2ʔ
พระเจ้าอยู่หัว,Pra4ʔ ca3w jU2 hV5
พระเจ้าอเล็กซานเดอร์มหาราช,Pra4ʔ ca3w ʔa2 le4k sA1n dZ1 ma4 hA5 rA3t
พระชานุ,Pra4ʔ CA1 nu4ʔ
พระเชตุพน,Pra4ʔ CE1 tu2ʔ Po1n
พระญาติ,Pra4ʔ jA3t
พระเดชพระคุณ,Pra4ʔ dE2t Pra4ʔ Ku1n
พระตำหนักจิตรลดารโหฐาน,Pra4ʔ ta1m na2k ci2t ra4 la4 dA1 ra4 hO5 TA5n
พระไตรปิฎก,Pra4ʔ tra1j pi2ʔ do2k
พระทรง,Pra4ʔ so1ŋ
พระทรงภพ,Pra4ʔ so1ŋ Po4p
พระที่นั่ง,Pra4ʔ TI3 na3ŋ
พระที่นั่งจักรีมหาปราสาท,Pra4ʔ TI3 na3ŋ ca2k krI1 ma4 hA5 prA1 sA2t
พระที่นั่งวิมานเมฆ,Pra4ʔ TI3 na3ŋ wi4ʔ mA1n mE3k
พระที่นั่งอนันต์สมาคม,Pra4ʔ TI3 na3ŋ ʔa2 na1n sa2 mA1 Ko1m
พระที่นั่งอัมพรสถาน,Pra4ʔ TI3 na3ŋ ʔa1m ma4 PX1n sa2 TA5n
พระธรรม,Pra4ʔ Ta1m
พระธรรมวินัย,Pra4ʔ Ta1m ma4 wi4ʔ na1j
พระธาตุ,Pra4ʔ TA3t
พระธิเบต,Pra4ʔ Ti4ʔ bE2t
พระธุดงค์,Pra4ʔ Tu4ʔ do1ŋ
พระนคร,Pra4ʔ na4 KX1n
พระนครศรีอยุธยา,Pra4ʔ na4 KX1n sI5 ʔa2 ju4t Ta4 jA1
พระนวก,Pra4ʔ na4ʔ wa4ʔ ka2ʔ
พระนอน,Pra4ʔ nX1n
พระนาภี,Pra4ʔ nA1 PI1
พระนารายณ์,Pra4ʔ nA1 rA1j
พระนารายณ์แผลงศร,Pra4ʔ nA1 rA1j PlY5ŋ sX5n
พระนาสิก,Pra4ʔ nA1 si2k
พระนิพพาน,Pra4ʔ ni4p PA1n
พระเนตร,Pra4ʔ nE3t
พระบรมมหาราชวัง,Pra4ʔ bX1 ro1m ma4 hA5 rA3t Ca4 wa1ŋ
พระบรมราชโองการ,Pra4ʔ bX1 ro1m ma4 rA3t Ca4 ʔO1ŋ kA1n
พระบรมราชินี,Pra4ʔ bX1 ro1m ma4 rA1 Ci4ʔ nI1
พระบรมราชินีนาถ,Pra4ʔ bX1 ro1m ma4 rA1 Ci4ʔ nI1 nA3t
พระบรมรูปทรงม้า,Pra4ʔ bX1 ro1m ma4 rU3p so1ŋ mA4
พระบรมศพ,Pra4ʔ bX1 ro1m ma4 so2p
พระบรมสารีริกธาตุ,Pra4ʔ bX1 ro1m sA5 rI1 ri4k ka2 TA3t
พระบังคน,Pra4ʔ ba1ŋ Ko1n
พระบาท,Pra4ʔ bA2t
พระบาทสมเด็จพระเจ้าอยู่หัว,Pra4ʔ bA2t so5m de2t Pra4ʔ ca3w jU2 hV5
พระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดช,Pra4ʔ bA2t so5m de2t Pra4ʔ ca3w jU2 hV5 PU1 mi4ʔ Po1n ʔa2ʔ du1n ja4ʔ dE2t
พระบาทสมเด็จพระปิ่นเกล้าเจ้าอยู่หัว,Pra4ʔ bA2t so5m de2t Pra4ʔ pi2n kla3w ca3w jU2 hV5
พระบิชอป,Pra4ʔ bi2ʔ CX3p
พระบิดา,Pra4ʔ bi2ʔ dA1
พระปฐมเจดีย์,Pra4ʔ pa2 To5m cE1 dI1
พระประธาน,Pra4ʔ pra2ʔ TA1n
พระปฤษฎางค์,Pra4ʔ pri2t sa2 dA1ŋ
พระปัปผาสะ,Pra4ʔ pa2p PA5 sa2ʔ
พระพยอม,Pra4ʔ Pa4 jX1m
พระพรหม,Pra4ʔ Pro1m
พระพลานามัย,Pra4ʔ PlA1 nA1 ma1j
พระพักตร์,Pra4ʔ Pa4k
พระพาย,Pra4ʔ PA1j
พระพิมพ์,Pra4ʔ Pi1m
พระพุทธ,Pra4ʔ Pu4t
พระพุทธโคดม,Pra4ʔ Pu4t Ta4ʔ KO1 da2 ma4
พระพุทธเจ้า,Pra4ʔ Pu4t Ta4ʔ ca3w
พระพุทธบาท,Pra4ʔ Pu4t bA2t
พุทธมหามณีรัตนปฏิมากร,Pu4t Ta4ʔ ma4 hA5 ma4 nI1 ra4t ta2 na4 pa2 ti2ʔ mA1 kX1n
พุทธรูป,Pu4t Ta4ʔ rU3p
พระพุทธศาสนา,Pra4ʔ Pu4t Ta4ʔ sA2t sa2 nA5
พระพุทธองค์,Pra4ʔ Pu4t Ta4ʔ ʔo1ŋ
พระเพลา,Pra4ʔ Pla1w
พระโพธิญาณ,Pra4ʔ PO1 Ti4ʔ jA1n
พระโพธิสัตว์,Pra4ʔ PO1 Ti4ʔ sa2t
พระภิกษุ,Pra4ʔ Pi4k su2ʔ
พระภิกษุสงฆ์,Pra4ʔ Pi4k su2ʔ so5ŋ
พระภูมิ,Pra4ʔ PU1m
พระภูมิเจ้าที่,Pra4ʔ PU1m ca3w TI3
พระมณฑป,Pra4ʔ mo1n do2p
พระมนู,Pra4ʔ ma4 nU1
พระมหา,Pra4ʔ ma4 hA5
พระมหากษัตริย์,Pra4ʔ ma4 hA5 ka2ʔ sa2t
พระมหาจักรพรรดิ,Pra4ʔ ma4 hA5 ca2k kra2ʔ Pa4t
พระมังสะ,Pra4ʔ ma1ŋ sa2ʔ
พระเมรุ,Pra4ʔ mE1n
พระแม่คงคา,Pra4ʔ mY3 Ko1ŋ KA1
พระยะโฮวา,Pra4ʔ ja4ʔ hO1 wA1
พระยุพราช,Pra4ʔ ju4p rA3t
พระเยซู,Pra4ʔ jE1 sU1
พระเยซูคริสต์,Pra4ʔ jE1 sU1 Kri4t
พระเยซูเจ้า,Pra4ʔ jE1 sU1 ca3w
พระรอง,Pra4ʔ rX1ŋ
พระราช,Pra4ʔ rA3t Ca4
พระราชกรณียกิจ,Pra4ʔ rA3t Ca4 ka2 ra4 nI1 ja4 ki2t
พระราชกระแสรับสั่ง,Pra4ʔ rA3t Ca4 kra2ʔ sY5 ra4p sa2ŋ
พระราชกฤษฎีกา,Pra4ʔ rA3t Ca4 kri2t sa2 dI1 kA1
พระราชกำหนด,Pra4ʔ rA3t Ca4 ka1m no2t
พระราชดำรัส,Pra4ʔ rA3t Ca4 da1m ra2t
พระราชดำริ,Pra4ʔ rA3t Ca4 da1m ri2ʔ
พระราชทานเพลิงพระบรมศพ,Pra4ʔ rA3t Ca4 TA1n PlZ1ŋ Pra4ʔ bX1 ro1m ma4 so2p
พระราชธิดา,Pra4ʔ rA3t Ca4 Ti4ʔ dA1
พระราชนิพนธ์,Pra4ʔ rA3t Ca4 ni4ʔ Po1n
พระราชบัญญัติ,Pra4ʔ rA3t Ca4 ba1n ja2t
พระราชบัญญัติประกอบรัฐธรรมนูญ,Pra4ʔ rA3t Ca4 ba1n ja2t pra2ʔ kX2p ra4t Ta2 Ta1m ma4 nU1n
พระราชบัณฑูร,Pra4ʔ rA3t Ca4 ba1n TU1n
พระราชบัลลังก์,Pra4ʔ rA3t Ca4 ba1n la1ŋ
พระราชพงศาวดาร,Pra4ʔ rA3t Ca4 Po1ŋ sA5 wa4 dA1n
พระราชพิธี,Pra4ʔ rA3t Ca4 Pi4ʔ TI1
พระราชพิธีจรดพระนังคัลแรกนาขวัญ,Pra4ʔ rA3t Ca4 Pi4ʔ TI1 co2t Pra4ʔ na1ŋ Ka1n rY3k nA1 Kwa5n
พระราชพิธีบรมราชาภิเษก,Pra4ʔ rA3t Ca4 Pi4ʔ TI1 bX1 ro1m rA1 CA1 Pi4ʔ sE2k
พระราชพิธีอุปราชาภิเษก,Pra4ʔ rA3t Ca4 Pi4ʔ TI1 ʔu2p pa2ʔ rA1 CA1 Pi4ʔ sE2k
พระราชภารกิจ,Pra4ʔ rA3t Ca4 PA1 ra4 ki2t
พระราชมนเทียร,Pra4ʔ rA3t Ca4 mo1n TJ1n
พระราชไมตรี,Pra4ʔ rA3t Ca4 ma1j trI1
พระราชวัง,Pra4ʔ rA3t Ca4 wa1ŋ
พระราชวังดุสิต,Pra4ʔ rA3t Ca4 wa1ŋ du2ʔ si2t
พระราชวังเดิม,Pra4ʔ rA3t Ca4 wa1ŋ dZ1m
พระราชวังสวนจิตรลดา,Pra4ʔ rA3t Ca4 wa1ŋ sV5n ci2t ra4 la4 dA1
พระราชวินิจฉัย,Pra4ʔ rA3t Ca4 wi4ʔ ni4t Ca5j
พระราชสาส์น,Pra4ʔ rA3t Ca4 sA5n
พระราชสำนัก,Pra4ʔ rA3t Ca4 sa5m na4k
พระราชหัตถ์เลขา,Pra4ʔ rA3t Ca4 ha2t lE1 KA5
พระราชอาณาจักร,Pra4ʔ rA3t Ca4 ʔA1 nA1 ca2k
พระราชโองการ,Pra4ʔ rA3t Ca4 ʔO1ŋ kA1n
พระราชโอรส,Pra4ʔ rA3t Ca4 ʔO1 ro4t
พระราชา,Pra4ʔ rA1 CA1
พระราชินี,Pra4ʔ rA1 Ci4ʔ nI1
พระราม,Pra4ʔ rA1m
พระรูป,Pra4ʔ rU3p
พระลักษมณ์,Pra4ʔ la4k
